       199       6136       1898
       200       5794       1976
       201       5533       1944
       202       5281       1920
       203       5037       1834
       204       4875       1754
       205       4717       1698
       206       4574       1640
       207       4455       1611
       208       4349       1559
       209       4294       1482
       210       4263       1435
       211       4242       1358
       212       4311       1327
       213       4370       1281
       214       4517       1271
       215       4637       1279
       216       4770       1258
       217       4942       1280
       218       5024       1307
       219       5156       1344
       220       5212       1374
       221       5317       1376
       222       5332       1407
       223       5378       1405
       224       5383       1424
       225       5425       1435
       226       5385       1437
       227       5374       1463
       228       5340       1466
       229       5346       1460
       230       5313       1509
       231       5217       1556
       232       5184       1569
       233       5103       1564
       234       5043       1546
       235       4960       1518
       236       4848       1479
       237       4822       1456
       238       4735       1401
       239       4668       1398
       240       4517       1423
       241       4388       1410
       242       4282       1366
       243       4230       1328
       244       4208       1291
       245       4245       1273
       246       4261       1220
       247       4336       1214
       248       4432       1216
       249       4549       1237
       250       4703       1259
       251       4850       1255
       252       4993       1301
       253       5206       1329
       254       5404       1373
       255       5589       1413
       256       5765       1420
       257       5898       1426
       258       6007       1462
       259       6052       1479
       260       6149       1487
       261       6152       1498
       262       6192       1523
       263       6175       1577
       264       6142       1653
       265       6085       1701
       266       6004       1765
       267       5891       1858
       268       5794       1908
       269       5595       1987
       270       5431       1983
       271       5267       2012
       272       5052       2032
       273       4851       2062
       274       4602       2065
       275       4387       2004
       276       4171       1960
       277       3969       1916
       278       3811       1867
       279       3668       1812
       280       3546       1723
       281       3464       1629
       282       3414       1549
       283       3359       1498
       284       3345       1386
       285       3393       1286
       286       3558       1147
       287       3755       1051
       288       3992        981
       289       4243        958
       290       4497        984
       291       4721       1002
       292       4990       1047
       293       5282       1083
       294       5533       1164
       295       5775       1242
       296       5970       1310
       297       6128       1427
       298       6232       1522
       299       6288       1671
       300       6251       1775
       301       6204       1876
       302       6096       1980
       303       5994       1997
       304       5793       2074
       305       5541       2176
       306       5271       2241
       307       4988       2223
       308       4716       2091
       309       4493       1978
       310       4280       1919
       311       4072       1833
       312       3880       1759
       313       3670       1713
       314       3478       1637
       315       3368       1515
       316       3293       1345
       317       3265       1202
       318       3274       1139
       319       3333       1075
       320       3435       1041
       321       3589        988
       322       3752        940
       323       3983        978
       324       4151        993
       325       4400       1038
       326       4621       1074
       327       4827       1143
       328       4970       1209
       329       5166       1254
       330       5334       1291
       331       5427       1335
       332       5530       1410
       333       5598       1451
       334       5650       1469
       335       5715       1527
       336       5761       1596
       337       5764       1698
       338       5721       1719
       339       5650       1728
       340       5519       1790
       341       5407       1789
       342       5270       1789
       343       5146       1811
       344       4940       1786
       345       4825       1746
       346       4720       1702
       347       4626       1621
       348       4574       1553
       349       4536       1501
       350       4560       1496
       351       4511       1505
       352       4454       1539
       353       4430       1527
       354       4376       1551
       355       4408       1526
       356       4410       1500
       357       4437       1506
       358       4479       1488
       359       4584       1453
       360       4648       1438
       361       4743       1449
       362       4784       1479
       363       4907       1495
       364       4950       1493
       365       4989       1493
       366       5016       1502
       367       5009       1480
       368       5008       1488
       369       4952       1516
       370       4890       1567
