       322       5053       1267
       323       4961       1246
       324       4850       1225
       325       4754       1233
       326       4642       1255
       327       4505       1238
       328       4339       1230
       329       4213       1239
       330       4106       1185
       331       4022       1148
       332       3970       1080
       333       3924       1055
       334       3921       1026
       335       3955        975
       336       4021        926
       337       4148        880
       338       4256        850
       339       4343        857
       340       4481        842
       341       4650        809
       342       4778        812
       343       4911        854
       344       5024        884
       345       5116        910
       346       5215        940
       347       5277        988
       348       5297       1032
       349       5343       1120
       350       5353       1184
       351       5361       1217
       352       5314       1233
       353       5251       1246
       354       5198       1240
       355       5169       1269
       356       5106       1248
       357       5003       1217
       358       4884       1211
       359       4748       1183
       360       4600       1171
       361       4495       1164
       362       4339       1152
       363       4244       1085
       364       4150       1035
       365       4094        945
       366       4079        882
       367       4077        863
       368       4123        868
       369       4153        861
       370       4174        871
       371       4217        865
       372       4248        883
       373       4294        921
       374       4374        943
       375       4452        921
       376       4504        916
       377       4623        928
       378       4758        900
       379       4913        901
       380       5043        914
       381       5138        947
       382       5270        967
       383       5352        998
       384       5378       1060
       385       5390       1079
       386       5339       1112
       387       5276       1150
       388       5215       1182
       389       5193       1230
       390       5134       1228
       391       5095       1199
       392       5079       1211
